sample	hom_min	hom_max	hom_mid	het_min	het_max	het_mid	haploid_len_min_mb	haploid_len_max_mb	haploid_len_mid_mb	model_fit_min	model_fit_max	error_rate	inferred_ploidy
PIO1	94.6376	95.6578	95.15	4.3422	5.36237	4.85	444.3	464.0	454.2	22.6437	83.7999	1.60052	diploid
PIO2	94.2116	95.3887	94.80	4.61125	5.78837	5.20	530.7	552.5	541.6	23.4671	81.23	1.45892	diploid
PK1	90.2482	94.5992	92.42	5.40081	9.75177	7.58	796.5	814.3	805.4	30.1424	81.364	0.651417	diploid
PKS1	93.3284	94.9566	94.14	5.04341	6.6716	5.86	610.0	630.5	620.3	23.8634	79.5956	1.15407	diploid
PMO1	94.0369	95.2851	94.66	4.71488	5.96313	5.34	552.9	574.6	563.8	23.5029	80.0882	1.30977	diploid
PMO29	94.2797	95.4252	94.85	4.57481	5.72031	5.15	532.1	554.1	543.1	23.0771	81.3262	1.4378	diploid
PNB1	91.6283	94.5779	93.10	5.42214	8.37173	6.90	686.9	704.5	695.7	26.5352	80.81	0.762516	diploid
POR1	92.9678	94.8532	93.91	5.14679	7.03215	6.09	649.4	669.9	659.6	25.542	81.5718	1.14664	diploid
PR1	89.6799	94.7133	92.20	5.28667	10.3201	7.80	923.4	946.6	935.0	30.4001	80.5907	0.673472	diploid
PSD1	94.3448	95.4583	94.90	4.54168	5.65524	5.10	477.9	497.9	487.9	23.0705	81.519	1.39675	diploid
PT1	92.7065	94.8412	93.77	5.15878	7.2935	6.23	789.5	815.6	802.5	25.719	82.017	1.25537	diploid
REC1	88.3961	95.1644	91.78	4.83559	11.6039	8.22	1078.9	1100.8	1089.8	31.4569	81.8468	0.558696	diploid
RNGS1	92.0756	94.7281	93.40	5.27192	7.92437	6.60	845.1	872.4	858.8	26.7235	82.2197	1.14679	diploid
S36	94.1683	95.3422	94.76	4.65778	5.83168	5.24	421.3	437.9	429.6	25.4982	81.899	1.7469	diploid
S38	94.0528	95.2767	94.66	4.72327	5.94716	5.34	452.1	469.5	460.8	25.3022	81.6703	1.6958	diploid
SA1	92.8624	94.8233	93.84	5.17668	7.13759	6.16	697.8	720.4	709.1	25.6688	80.2077	1.31769	diploid
SAL1	93.483	95.0135	94.25	4.98652	6.517	5.75	537.4	556.4	546.9	25.3637	80.343	1.47395	diploid
SAN1	94.0309	95.2856	94.66	4.71436	5.96913	5.34	456.2	473.7	465.0	25.187	82.0297	1.66387	diploid
SAVG1	93.8246	95.1696	94.50	4.83038	6.17542	5.50	543.4	564.5	553.9	24.3945	79.8615	1.39488	diploid
SB1	93.6067	95.0846	94.35	4.9154	6.39333	5.65	616.3	637.4	626.9	24.5003	81.7826	1.27701	diploid
SBJK1	92.965	94.8294	93.90	5.17055	7.03502	6.10	591.3	611.0	601.1	25.9771	79.5192	1.36297	diploid
SC1	93.7951	95.1609	94.48	4.83905	6.2049	5.52	589.4	610.5	599.9	24.2321	80.723	1.37651	diploid
SERB1	93.0964	94.8653	93.98	5.13469	6.90361	6.02	578.8	598.1	588.4	26.1358	80.004	1.36789	diploid
SERB2	93.0251	94.8355	93.93	5.16447	6.97494	6.07	637.2	658.6	647.9	26.0851	77.4933	1.1685	diploid
SERB3	91.8801	94.5686	93.22	5.43143	8.11994	6.78	754.8	776.1	765.4	27.2428	77.612	0.916857	diploid
SHN1	94.5951	95.6133	95.10	4.38668	5.40487	4.90	538.0	560.4	549.2	22.71	82.9261	1.58801	diploid
SOA1	93.2307	94.9141	94.07	5.08591	6.76933	5.93	598.5	617.6	608.1	25.1598	80.3612	1.20374	diploid
SPALT1	92.8078	94.7934	93.80	5.20659	7.19217	6.20	594.1	613.5	603.8	26.4137	80.03	1.33861	diploid
SRM1	94.4579	95.5175	94.99	4.48252	5.54214	5.01	399.0	415.6	407.3	24.5725	82.7777	1.83645	diploid
SS1	94.1358	95.3403	94.74	4.6597	5.86423	5.26	470.8	490.0	480.4	25.1427	81.0188	1.53307	diploid
STG1	92.2288	94.6149	93.42	5.38505	7.77123	6.58	734.5	756.1	745.3	26.9905	77.8496	0.9753	diploid
STRSL1	91.824	94.648	93.24	5.35197	8.17596	6.76	855.3	880.4	867.9	26.6405	80.0002	1.1003	diploid
SUN1	94.1034	95.3075	94.71	4.69246	5.89659	5.29	493.0	511.5	502.3	24.2929	81.7599	1.423	diploid
TOL1	93.3902	94.9866	94.19	5.01339	6.60982	5.81	634.0	655.8	644.9	24.8962	79.9849	1.43167	diploid
TUS1	90.8567	94.5336	92.70	5.4664	9.14332	7.30	784.2	803.2	793.7	29.3556	80.0042	0.745923	diploid
UNI1	93.0631	94.857	93.96	5.14303	6.93692	6.04	587.9	607.6	597.8	25.7004	79.5446	1.40398	diploid
USYM1	94.4795	95.5405	95.01	4.45954	5.52054	4.99	438.8	457.6	448.2	23.2466	82.6805	1.63068	diploid
VOJV1	94.8758	95.8154	95.35	4.18458	5.12423	4.65	328.6	343.8	336.2	23.7234	84.1768	1.91837	check_p4
WIM1	93.1802	94.9561	94.07	5.04392	6.81983	5.93	715.1	739.8	727.4	25.2527	82.106	1.30934	diploid
WTB48	93.5968	95.0632	94.33	4.93682	6.40318	5.67	499.4	517.5	508.5	26.0257	80.602	1.56351	diploid
WYEC1	93.7561	95.1338	94.44	4.86622	6.24392	5.56	508.0	526.7	517.3	25.5847	80.9876	1.5534	diploid
YEO1	92.1662	94.6419	93.40	5.35808	7.83381	6.60	732.9	754.2	743.5	26.9778	78.8655	1.0126	diploid
YUGOM1	93.2697	94.9431	94.11	5.05688	6.73031	5.89	514.2	531.9	523.0	26.2277	80.8828	1.42708	diploid
ZC1	93.3222	94.9552	94.14	5.04476	6.6778	5.86	594.4	614.9	604.7	25.4727	80.0451	1.45553	diploid
ZLA1	91.7343	94.5891	93.16	5.41094	8.26566	6.84	736.5	758.2	747.4	28.3397	79.3728	1.04507	diploid
